Price,District,YearOfConstruction,Area,Type,Link
340000000,Алмалинский,2016,799.8,"
                    Свободное назначение ",/a/show/50579442
100000000,Медеуский,2017,84.5,"
                    Свободное назначение ",/a/show/699183803
95000000,Бостандыкский,2022,70,"
                    Салоны красоты ",/a/show/699183691
56000000,Медеуский,2006,34,"
                    Свободное назначение ",/a/show/697855659
1500000000,Алмалинский,2023,1800,"
                    Свободное назначение, офисы, магазины и бутики ",/a/show/698242833
230000000,Алмалинский,2016,337.5,"
                    Свободное назначение ",/a/show/683226566
100000000,Алмалинский,2016,147.3,"
                    Свободное назначение ",/a/show/683227336
100000000,Бостандыкский,в бизнес-центре,135,"
                    Свободное назначение, офисы ",/a/show/699183397
173003700,Бостандыкский,cвежий ремонт,243.5,"
                    Свободное назначение ",/a/show/684101683
238291000,Бостандыкский,cвежий ремонт,349.9,"
                    Свободное назначение ",/a/show/684102387
186892400,Бостандыкский,черновая отделка,540,"
                    Свободное назначение ",/a/show/684102469
35000000,Наурызбайский,2024,50,"
                    Салоны красоты ",/a/show/697733813
110000000,Медеуский,отдельностоящее здание,96,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки ",/a/show/699183321
99000000,Алмалинский,в жилом доме или ЖК,112.5,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/697173122
19900000,Алмалинский,2012,38.9,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование, развлечения ",/a/show/698805313
155000000,Алматы,2017,500,"
                    Офисы, склады ",/a/show/692636982
1900000000,Медеуский,2018,1427,"
                    Свободное назначение, офисы, магазины и бутики, образование, развлечения ",/a/show/696200136
65000000,Алатауский,2011,104,"
                    Медцентры и аптеки ",/a/show/699183081
1700000,Медеуский,нет,24,"
                    Свободное назначение ",/a/show/698620390
2500000,Бостандыкский,2018,10,"
                    Склады ",/a/show/697059484
440000000,Ауэзовский,2003,569.3,"
                    Свободное назначение ",/a/show/675850820
10000000,Ауэзовский,1996,10,"
                    Свободное назначение, офисы, магазины и бутики, склады, сельское хозяйство, медцентры и аптеки, образование, развлечения ",/a/show/699182826
1100000,Алатауский,2024,4.27,"
                    Склады ",/a/show/696981779
850000,Алматы,2024,5,"
                    Склады ",/a/show/688457669
14000000,Ауэзовский,1990,32,"
                    Свободное назначение, офисы, склады, образование, развлечения ",/a/show/699182757
10000000,Ауэзовский,1990,30,"
                    Свободное назначение, офисы, склады, образование, развлечения ",/a/show/699182668
110000000,Медеуский,1,97,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, развлечения ",/a/show/699182609
840000,Наурызбайский,в жилом доме или ЖК,8.4,"
                    Склады ",/a/show/687422377
18700000,Жетысуский,2011,45.1,"
                    Свободное назначение ",/a/show/695244269
30000000,Турксибский,2006,105,"
                    Свободное назначение ",/a/show/682351452
30000000,Жетысуский,2010,65,"
                    Свободное назначение, офисы, магазины и бутики, склады ",/a/show/665449891
924487000,Алмалинский,Алтын Заман,812.9,"
                    Офисы ",/a/show/55166543
3300000,Медеуский,в жилом доме или ЖК,24,"
                    Свободное назначение ",/a/show/682089047
1200000,Бостандыкский,2022,4,"
                    Склады ",/a/show/697351262
30000000,Бостандыкский,2013,81,"
                    Склады ",/a/show/696388402
170000000,Турксибский,2019,360,"
                    Свободное назначение ",/a/show/690719813
570000000,Турксибский,да,904,"
                    Свободное назначение ",/a/show/689444011
469500000,Бостандыкский,2016,600,"
                    Свободное назначение, офисы, салоны красоты, медцентры и аптеки, образование ",/a/show/698723479
1200000,Алатауский,2024,30,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты ",/a/show/699181526
70000000,Бостандыкский,в жилом доме или ЖК,72,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/699181398
8500000,Медеуский,2020,34,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/699181505
80000000,Бостандыкский,2005,94,"
                    Бани, гостиницы и зоны отдыха ",/a/show/691955085
280000000,Алатауский,2023,1000,"
                    Свободное назначение ",/a/show/691136156
69900000,Медеуский,2000,70,"
                    Магазины и бутики, салоны красоты ",/a/show/697521497
33000000,Ауэзовский,1989,45,"
                    Магазины и бутики ",/a/show/698042892
40000000,Ауэзовский,2019,65,"
                    Свободное назначение ",/a/show/685233713
79000000,Алмалинский,cвежий ремонт,41.9,"
                    Свободное назначение ",/a/show/56409849
670000000,Наурызбайский,2023,1600,"
                    Свободное назначение, бани, гостиницы и зоны отдыха ",/a/show/699181149
4000000,Медеуский,2021,15,"
                    Склады ",/a/show/686484975
450000000,Наурызбайский,2021,850,"
                    Свободное назначение ",/a/show/679383318
70000000,Алмалинский,1954,80,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699181029
5710160819,Алмалинский,отдельностоящее здание,7105,"
                    Свободное назначение, офисы, общепит ",/a/show/691537794
50000000,Алатауский,2024,101,"
                    Свободное назначение ",/a/show/698618241
1340000000,Медеуский,2017,1583,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699180517
350000000,Алатауский,1990,500,"
                    Свободное назначение ",/a/show/697327318
87000000,Бостандыкский,2000,132,"
                    Свободное назначение, офисы, салоны красоты, образование, развлечения ",/a/show/699180328
50000000,Алмалинский,1936,77,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты ",/a/show/699180345
220000000,Алматы,отдельностоящее здание,400,"
                    Магазины и бутики ",/a/show/683231748
165000000,Бостандыкский,2004,220,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699180242
24500000,Наурызбайский,2007,48,"
                    Свободное назначение, магазины и бутики ",/a/show/699179733
21000000,Алатауский,2024,39.8,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699176035
130000000,Медеуский,в жилом доме или ЖК,116,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/699180033
849000000,Медеуский,2007,2150,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит ",/a/show/689632267
420000000,Алмалинский,2008,300,"
                    Свободное назначение, офисы, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха ",/a/show/699179460
120000000,Бостандыкский,2008,110,"
                    Свободное назначение, магазины и бутики, общепит, развлечения ",/a/show/699179243
14000000,Наурызбайский,2007,22.2,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/698048963
85000000,Ауэзовский,2010,225,"
                    Свободное назначение, офисы ",/a/show/699179182
1512900000,Алмалинский,2013,2020,"
                    Общепит, бани, гостиницы и зоны отдыха ",/a/show/698984483
700000000,Наурызбайский,2020,1000,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699179098
43000000,Ауэзовский,да,43,"
                    Магазины и бутики ",/a/show/682907615
175000000,Алмалинский,1969,110,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699178992
1512900000,Алмалинский,2015,2020,"
                    Общепит ",/a/show/699178879
1000000000,Медеуский,2000,1800,"
                    Общепит ",/a/show/695347561
8000000,Алматы,2022,16,"
                    Магазины и бутики ",/a/show/690228285
1100000000,Бостандыкский,первая,1030,"
                    Свободное назначение ",/a/show/699178625
70000000,Алмалинский,1966,77.4,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699178588
70000000,Алмалинский,1966,77.4,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699178545
130000000,Алмалинский,1995,125,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699178504
1100000000,Медеуский,2023,2040,"
                    Свободное назначение, офисы, магазины и бутики, медцентры и аптеки, образование, развлечения ",/a/show/697928960
14000000,Бостандыкский,2009,27,"
                    Свободное назначение, общепит, салоны красоты, развлечения ",/a/show/698977189
176901327,Бостандыкский,cвежий ремонт,254.5,"
                    Свободное назначение ",/a/show/678670594
111000000,Медеуский,1982,82,"
                    Офисы, магазины и бутики, салоны красоты, медцентры и аптеки ",/a/show/695359507
39000000,Бостандыкский,1959,44,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование ",/a/show/699178424
912000000,Алмалинский,1986,1800,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/696630994
69000000,Бостандыкский,1959,54,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699178319
362137500,Алмалинский,2019,321.9,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/692477625
18500000,Алатауский,в торговом центре,34,"
                    Магазины и бутики ",/a/show/683092708
321375000,Бостандыкский,2019,257.1,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/692501969
265000000,Бостандыкский,2021,265,"
                    Свободное назначение, общепит ",/a/show/699178114
300000000,Бостандыкский,1998,250.7,"
                    Общепит, развлечения ",/a/show/699178049
125555555,Турксибский,2022,385,"
                    Свободное назначение ",/a/show/699177952
620000000,Бостандыкский,2009,637.6,"
                    Свободное назначение, образование ",/a/show/699177879
55000000,Алатауский,2020,350,"
                    Свободное назначение ",/a/show/677605628
610000000,Алмалинский,1971,1263,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699177820
155000000,Бостандыкский,2007,243,"
                    Свободное назначение ",/a/show/699177818
247440000,Турксибский,2023,240,"
                    Свободное назначение ",/a/show/689399444
87000000,Алатауский,2022,257.7,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/695268272
21000000,Ауэзовский,2004,40,"
                    Свободное назначение ",/a/show/693228105
232290000,Алатауский,2022,516.2,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/695268425
87000000,Турксибский,нет,200,"
                    Свободное назначение ",/a/show/681872789
55000000,Наурызбайский,1998,330,"
                    Свободное назначение ",/a/show/696839889
230000000,Алмалинский,1968,260,"
                    Свободное назначение, офисы, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699177721
1100000,Бостандыкский,2023,4.5,"
                    Склады ",/a/show/695222857
17000000,Бостандыкский,2013,40.4,"
                    Свободное назначение ",/a/show/697524604
470000000,Алматы,2024,965,"
                    Образование ",/a/show/698619964
68000000,Турксибский,2007,100,"
                    Магазины и бутики ",/a/show/694050017
3555955,Медеуский,на универсальном рынке,18,"
                    Магазины и бутики ",/a/show/698614609
270000000,Наурызбайский,2001,720,"
                    Свободное назначение, магазины и бутики, общепит ",/a/show/699177298
70000000,Бостандыкский,2023,30,"
                    Свободное назначение ",/a/show/689504707
43000000,Алатауский,2017,58,"
                    Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/698425318
87000000,Алмалинский,1984,163.7,"
                    Свободное назначение, офисы, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/698741362
1300000000,Медеуский,1,510,"
                    Свободное назначение, офисы, магазины и бутики, общепит ",/a/show/699177309
100000000,Бостандыкский,2016,135,"
                    Свободное назначение, офисы, образование, развлечения ",/a/show/699177023
142900000,Медеуский,"свет, вода, канализация, отопление",85,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699176983
150000000,Медеуский,1943,282,"
                    Свободное назначение ",/a/show/677483094
2000000000,Алмалинский,2013,2700,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699176717
27000000,Бостандыкский,1982,70,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/697618330
540000000,Бостандыкский,2022,424,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/699176635
390000000,Бостандыкский,1930,560,"
                    Свободное назначение ",/a/show/671285366
170000000,Жетысуский,2006,325,"
                    Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699176488
2700000000,Турксибский,2010,5700,"
                    Азс, автосервисы и автомойки ",/a/show/693028402
170000000,Бостандыкский,2024,200,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/699176543
34000000,Ауэзовский,2017,29,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/693346862
2800000,Алатауский,2.8 м,32,"
                    Свободное назначение ",/a/show/693099096
670000000,Наурызбайский,2024,1600,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения ",/a/show/698632922
85000000,Алатауский,2017,350,"
                    Свободное назначение ",/a/show/698613313
650000000,Алмалинский,в жилом доме или ЖК,1077,"
                    Свободное назначение, офисы, салоны красоты, медцентры и аптеки, образование ",/a/show/699175892
276000000,Бостандыкский,2009,650,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты ",/a/show/686779242
661521858,Бостандыкский,в жилом доме или ЖК,377.17,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/691479447
510000000,Алмалинский,в жилом доме или ЖК,495,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/692646643
528000000,Бостандыкский,2021,670,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/695602907
300000000,Бостандыкский,2023,260.49,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/696747537
555000000,Бостандыкский,2022,365,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/696747591
775000000,Алмалинский,в жилом доме или ЖК,180,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/698207690
1700000000,Бостандыкский,2006,1500,"
                    Офисы ",/a/show/692469757
99000000,Жетысуский,1984,103,"
                    Свободное назначение ",/a/show/680737184
134000000,Бостандыкский,2008,218,"
                    Офисы ",/a/show/694877704
95000000,Медеуский,2005,260,"
                    Свободное назначение ",/a/show/699175929
950000000,Медеуский,отдельностоящее здание,2020,"
                    Свободное назначение ",/a/show/682325102
129000000,Алатауский,2022,257.7,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты ",/a/show/688304464
126000000,Алатауский,2022,251,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты ",/a/show/688303941
5000000000,Алмалинский,2012,2593,"
                    Свободное назначение ",/a/show/699175909
950000000,Алатауский,2024,2107,"
                    Свободное назначение, офисы, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699175636
10500000,Турксибский,2008,37,"
                    Свободное назначение, офисы ",/a/show/689814439
6500000,Алатауский,в бизнес-центре,50,"
                    Азс, автосервисы и автомойки ",/a/show/694259329
255000000,Бостандыкский,1980,163,"
                    Свободное назначение ",/a/show/699175246
28142000,Жетысуский,1987,113.9,"
                    Свободное назначение, склады ",/a/show/695856508
29384000,Жетысуский,1987,119.5,"
                    Свободное назначение, склады ",/a/show/695856655
450000000,Бостандыкский,2000,430,"
                    Бани, гостиницы и зоны отдыха ",/a/show/698763918
800000000,Бостандыкский,2023,475,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699175105
1800000000,Медеуский,отдельностоящее здание,2009,"
                    Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, развлечения ",/a/show/698760722
120000000,Алатауский,2014,120,"
                    Бани, гостиницы и зоны отдыха ",/a/show/699174977
475000000,Бостандыкский,2024,950,"
                    Образование ",/a/show/699174765
109000000,Наурызбайский,2011,200,"
                    Офисы, магазины и бутики, салоны красоты, образование ",/a/show/696878764
100000000,Жетысуский,2,331,"
                    Офисы ",/a/show/691019835
260000000,Жетысуский,2018,500,"
                    Офисы, магазины и бутики, общепит, салоны красоты ",/a/show/685419695
111375000,Алматы,2020,85,"
                    Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698542951
6500000,Алматы,2014,27,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты ",/a/show/698611446
80000000,Жетысуский,1975,295,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699174558
400000000,Медеуский,1990,240,"
                    Свободное назначение ",/a/show/699174207
75000000,Бостандыкский,2024,87.4,"
                    Свободное назначение ",/a/show/699014699
75000000,Ауэзовский,1993,60,"
                    Магазины и бутики ",/a/show/698983431
600000000,Медеуский,1996,999.5,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698136981
125000000,Алмалинский,1978,78,"
                    Свободное назначение, офисы, салоны красоты, медцентры и аптеки, образование ",/a/show/699174187
120000000,Медеуский,1974,50,"
                    Офисы, магазины и бутики, общепит, салоны красоты ",/a/show/686158383
130000000,Алмалинский,1995,125,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699174130
175000000,Жетысуский,1998,430,"
                    Свободное назначение ",/a/show/699174068
75000000,Бостандыкский,1963,80,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699174054
215000000,Бостандыкский,2012,435,"
                    Свободное назначение ",/a/show/53476995
1050000000,Медеуский,2025,720,"
                    Свободное назначение, офисы, магазины и бутики, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/698061657
95000000,Медеуский,2020,85,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699174026
300000000,Ауэзовский,2017,800,"
                    Свободное назначение ",/a/show/699173907
185000000,Бостандыкский,2004,220,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699173770
510000000,Алмалинский,1969,327,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699173811
900000000,Бостандыкский,в жилом доме или ЖК,1170,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699173876
705000000,Алмалинский,отдельностоящее здание,900,"
                    Свободное назначение, офисы, склады, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения ",/a/show/694800739
65000000,Жетысуский,1996,450,"
                    Свободное назначение, склады, азс, автосервисы и автомойки ",/a/show/27229882
130100000,Бостандыкский,2023,113.7,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698610614
64000000,Алмалинский,1963,62,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699173626
7000000,Алатауский,2020,60,"
                    Магазины и бутики ",/a/show/685109195
250000000,Жетысуский,2018,256,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699173520
25000000,Алматы,да,400,"
                    Бани, гостиницы и зоны отдыха ",/a/show/692120674
20000000,Наурызбайский,в жилом доме или ЖК,116,"
                    Свободное назначение ",/a/show/696380057
77000000,Бостандыкский,1,70,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699173331
3700000000,Ауэзовский,2020,4000,"
                    Свободное назначение ",/a/show/699171232
86372000,Медеуский,2022,60.4,"
                    Свободное назначение ",/a/show/687364567
198900000,Медеуский,2022,153,"
                    Свободное назначение ",/a/show/687364650
5000000,Жетысуский,в торговом центре,22,"
                    Магазины и бутики ",/a/show/692025782
80000000,Жетысуский,1975,295,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699172662
31500000,Ауэзовский,1979,31.5,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/694301010
65000000,Медеуский,2007,360,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/696944190
65000000,Алатауский,2011,103.8,"
                    Свободное назначение ",/a/show/699172920
180000000,Алмалинский,1965,135,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699172929
520000000,Медеуский,в бизнес-центре,260,"
                    Офисы ",/a/show/699172846
70000000,Алмалинский,1979,95,"
                    Свободное назначение, офисы, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699172833
35000000,Жетысуский,2014,174.7,"
                    Бани, гостиницы и зоны отдыха ",/a/show/699172804
260000000,Алматы,2023,260,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698060488
121500000,Бостандыкский,2024,106,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/698609311
75000000,Алмалинский,1966,78,"
                    Свободное назначение, офисы, магазины и бутики, склады, медцентры и аптеки, образование, развлечения ",/a/show/699172698
81000000,Ауэзовский,2017,70,"
                    Свободное назначение, магазины и бутики, салоны красоты, развлечения ",/a/show/699172565
430000000,Медеуский,2015,1300,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит ",/a/show/688451642
720000,Наурызбайский,2021,3.8,"
                    Свободное назначение ",/a/show/697247828
32000000,Наурызбайский,2021,43,"
                    Магазины и бутики, салоны красоты ",/a/show/679641338
130000000,Алатауский,2017,350,"
                    Свободное назначение ",/a/show/682534107
27000000,Наурызбайский,2013,33,"
                    Офисы ",/a/show/686166598
310000000,Медеуский,2018,250,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование ",/a/show/699172109
170000000,Наурызбайский,2013,380,"
                    Свободное назначение ",/a/show/695233507
60500000,Бостандыкский,2022,194,"
                    Свободное назначение ",/a/show/697294573
800000000,Бостандыкский,2023,475,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/699171419
46000000,Медеуский,1970,42,"
                    Свободное назначение ",/a/show/696208750
800000000,Бостандыкский,2023,475,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699171538
1100000000,Медеуский,2023,2040,"
                    Свободное назначение, офисы ",/a/show/699171346
8500000,Жетысуский,2002,20,"
                    Свободное назначение ",/a/show/698608079
435000000,Медеуский,2011,359,"
                    Свободное назначение, офисы, общепит, салоны красоты, медцентры и аптеки, образование ",/a/show/693815867
850000000,Медеуский,3 м,900,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения ",/a/show/697992246
2110000000,Бостандыкский,2012,2500,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты ",/a/show/687804085
14500000,Бостандыкский,2009,27,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты ",/a/show/699171251
34000000,Ауэзовский,2014,120,"
                    Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699171094
90000000,Бостандыкский,2006,84,"
                    Свободное назначение, офисы, магазины и бутики, салоны красоты ",/a/show/699171148
4250000000,Бостандыкский,2015,4170,"
                    Свободное назначение, офисы, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699171054
1250000000,Алмалинский,2024,1050,"
                    Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения ",/a/show/699170996
91090567,Бостандыкский,в жилом доме или ЖК,156.2,"
                    Склады ",/a/show/696754347
410000000,Бостандыкский,2021,400,"
                    Свободное назначение, офисы, магазины и бутики, общепит, бани, гостиницы и зоны отдыха, медцентры и аптеки ",/a/show/697505519
880000000,Медеуский,в жилом доме или ЖК,580,"
                    Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения ",/a/show/692702774
