Price,NumberOfRooms,District,YearOfConstruction,Floor,Area,Link
33500000,"
                    3",Ауэзовский,1967,2,60,/a/show/698935921
28000000,"
                    2",Ауэзовский,2018,8,40,/a/show/695581408
49000000,"
                    2",Наурызбайский,2021,4,60,/a/show/689348465
43000000,"
                    3",Наурызбайский,2017,1,65,/a/show/696389269
33500000,"
                    3",Наурызбайский,2019,6,73,/a/show/699063682
120000000,"
                    3",Бостандыкский,2019,2,121,/a/show/690954897
24500000,"
                    1",Алмалинский,1975,5,33,/a/show/699210075
49000000,"
                    2",Ауэзовский,2021,6,64,/a/show/698227527
53000000,"
                    3",Медеуский,1977,3,76,/a/show/695952047
37000000,"
                    2",Алмалинский,2012,4,58.5,/a/show/695648228
от46319650,"
                    3",Турксибский,2025,101.69,2,/a/show/694704261
от34495500,"
                    2",Турксибский,2025,56.55,совмещенный,/a/show/694704254
от11608500,"
                    1",Алматинская,2024,32.7,совмещенный,/a/show/680003631
от28682700,"
                    1",Алатауский,2025,42.81,совмещенный,/a/show/695180118
35000000,"
                    2",Наурызбайский,2020,3,58.2,/a/show/698979804
48500000,"
                    3",Медеуский,2022,5,60,/a/show/695855543
67000000,"
                    4",Медеуский,1995,1,96.5,/a/show/695174491
34500000,"
                    1",Бостандыкский,2016,12,47,/a/show/690159978
80000000,"
                    3",Бостандыкский,2018,2,107,/a/show/699212316
37500000,"
                    1",Бостандыкский,2014,8,46.3,/a/show/698722228
45000000,"
                    2",Ауэзовский,2005,6,58.6,/a/show/697791891
23000000,"
                    1",Турксибский,2016,1,45,/a/show/697583915
42500000,"
                    2",Бостандыкский,2024,10,72.46,/a/show/687130199
от44591400,"
                    4",Турксибский,2025,106.17,2,/a/show/694706349
от24628000,"
                    1",Жетысуский,2025,37.6,совмещенный,/a/show/684283316
от180821300,"
                    2",Наурызбайский,2025,203.17,3,/a/show/695179202
от31814400,"
                    2",Алмалинский,2024,49.71,раздельный,/a/show/677075014
39000000,"
                    3",Алмалинский,1974,5,62,/a/show/694320919
27600000,"
                    2",Турксибский,2014,6,65.4,/a/show/686961722
32000000,"
                    3",Турксибский,2024,3,69,/a/show/695354738
55200000,"
                    2",Бостандыкский,2022,2,56.6,/a/show/693755645
68990000,"
                    3",Алмалинский,1978,9,112,/a/show/678721517
от78435000,"
                    3",Бостандыкский,2024,82.8,2,/a/show/671256624
65000000,"
                    3",Наурызбайский,2023,1,73,/a/show/699166203
55000000,"
                    4",Турксибский,2015,4,100,/a/show/697121085
49900000,"
                    3",Бостандыкский,1980,2,65,/a/show/696756399
27990000,"
                    2",Бостандыкский,1961,1,44,/a/show/690077797
от68634000,"
                    4",Алмалинский,2025,110.7,2,/a/show/689365690
27000000,"
                    1",Алатауский,2024,6,43.5,/a/show/698612246
25000000,"
                    1",Ауэзовский,2024,11,46,/a/show/694961385
110000000,"
                    4",Бостандыкский,2021,8,102.4,/a/show/694195649
от119857320,"
                    3",Бостандыкский,2025,143.37,2,/a/show/694723363
от134106000,"
                    3",Бостандыкский,2022,216.3,2,/a/show/667684877
97800000,"
                    3",Алмалинский,2011,8,140,/a/show/698133659
от150784000,"
                    2",Наурызбайский,2025,158.72,3,/a/show/695179199
41000000,"
                    3",Ауэзовский,1981,2,64.3,/a/show/698714851
36000000,"
                    2",Алмалинский,2024,9,65,/a/show/692383154
45000000,"
                    3",Наурызбайский,2023,5,95,/a/show/691841526
39999990,"
                    1",Бостандыкский,2008,10,51.6,/a/show/690911834
43000000,"
                    4",Жетысуский,2009,8,103.2,/a/show/698860567
25000000,"
                    2",Алатауский,2024,3,42,/a/show/698100646
35000000,"
                    1",Ауэзовский,2024,10,47,/a/show/696581454
58000000,"
                    3",Алмалинский,1980,5,74.4,/a/show/693192051
от27977000,"
                    2",Жетысуский,2024,62.67,2,/a/show/671252263
от36385950,"
                    1",Бостандыкский,2025,45.06,совмещенный,/a/show/689196236
41000000,"
                    2",Ауэзовский,2022,1,74,/a/show/696464689
25000000,"
                    4",Жетысуский,1984,1,80,/a/show/692918459
130000000,"
                    2",Бостандыкский,2010,12,104,/a/show/692507831
20000000,"
                    2",Наурызбайский,1970,3,49,/a/show/686797506
328000000,"
                    4",Медеуский,2024,2,191.62,/a/show/698648602
40900000,"
                    2",Ауэзовский,2024,1,57,/a/show/692864974
от81432960,"
                    2",Бостандыкский,2025,92.96,2,/a/show/694723351
254990000,"
                    4",Медеуский,2018,1,155,/a/show/698782985
21500000,"
                    1",Алмалинский,2024,9,29,/a/show/693023295
29500000,"
                    2",Алатауский,2007,1,69,/a/show/664818087
от25929100,"
                    1",Жетысуский,2025,38.3,совмещенный,/a/show/684283308
269500000,"
                    3",Медеуский,2018,1,130,/a/show/698782843
225000000,"
                    4",Бостандыкский,2012,1,225,/a/show/693070950
99999000,"
                    3",Бостандыкский,2022,15,105,/a/show/699015533
59500000,"
                    2",Бостандыкский,2024,11,62,/a/show/698618781
15000000,"
                    1",Турксибский,2025,4,37,/a/show/697964119
21000000,"
                    1",Алатауский,2015,1,44.9,/a/show/697269461
34000000,"
                    3",Ауэзовский,1972,4,60,/a/show/692967342
24000000,"
                    1",Ауэзовский,2024,13,46.64,/a/show/690541508
от144300000,"
                    3",Медеуский,2023,104.84,2,/a/show/671314140
13500000,"
                    1",Ауэзовский,1963,3,18,/a/show/699105430
36000000,"
                    2",Наурызбайский,2024,2,46.6,/a/show/697695850
26000000,"
                    2",Наурызбайский,2023,1,51,/a/show/695904485
35700000,"
                    1",Алмалинский,2022,11,38.2,/a/show/695844900
32000000,"
                    2",Наурызбайский,2023,6,61.4,/a/show/693356289
от28660800,"
                    2",Жетысуский,2025,59.71,совмещенный,/a/show/688281989
84000000,"
                    3",Бостандыкский,2016,16,98.5,/a/show/693862315
55000000,"
                    3",Медеуский,1988,1,69,/a/show/692308663
60000000,"
                    2",Бостандыкский,2023,20,75,/a/show/695687013
61100000,"
                    3",Ауэзовский,2008,5,88.1,/a/show/694939109
58000000,"
                    3",Ауэзовский,2023,12,104.5,/a/show/689934927
38000000,"
                    3",Ауэзовский,1980,5,65,/a/show/695557812
40000000,"
                    2",Алмалинский,2012,16,64,/a/show/693059414
111000000,"
                    3",Бостандыкский,2022,11,113,/a/show/694069618
26500000,"
                    2",Ауэзовский,1967,1,44,/a/show/688052934
88900000,"
                    5",Алмалинский,1979,2,113.4,/a/show/699006722
69999990,"
                    4",Алмалинский,2012,11,130,/a/show/696958050
38500000,"
                    3",Наурызбайский,2013,4,67,/a/show/695915983
22900000,"
                    1",Бостандыкский,1976,1,31,/a/show/694742674
46000000,"
                    2",Бостандыкский,2023,13,53.4,/a/show/690455208
68000000,"
                    3",Медеуский,2021,2,93,/a/show/683777978
26990000,"
                    2",Наурызбайский,2019,8,50,/a/show/694492592
от69300000,"
                    1",Медеуский,2025,63,совмещенный,/a/show/689022898
65000000,"
                    3",Бостандыкский,2019,15,100,/a/show/699063908
23500000,"
                    1",Наурызбайский,2022,4,35,/a/show/698137119
25000000,"
                    2",Алатауский,2018,1,48,/a/show/697514746
58000000,"
                    2",Алмалинский,2012,10,86.6,/a/show/696093171
49500000,"
                    3",Наурызбайский,2020,9,82.3,/a/show/692799371
от69388000,"
                    2",Ауэзовский,2024,91.3,2,/a/show/677332428
от36512500,"
                    2",Жетысуский,2025,57.5,совмещенный,/a/show/684283318
от151729520,"
                    4",Алматы,2024,136.94,2,/a/show/688394401
36999000,"
                    2",Бостандыкский,2024,15,55.6,/a/show/695229995
от19695500,"
                    1",Алатауский,2025,35.81,совмещенный,/a/show/693826790
57000000,"
                    2",Ауэзовский,2022,4,68,/a/show/698749860
27000000,"
                    2",Бостандыкский,1961,1,44,/a/show/697652210
85000000,"
                    2",Медеуский,2015,9,75,/a/show/697579063
41000000,"
                    2",Ауэзовский,2006,7,78.5,/a/show/695383512
40500000,"
                    3",Ауэзовский,1963,3,57.9,/a/show/691285824
36700000,"
                    3",Алатауский,2013,9,76.4,/a/show/686669202
85000000,"
                    2",Бостандыкский,2023,1,74,/a/show/685508953
40000000,"
                    1",Медеуский,2023,3,53.73,/a/show/683475115
от54315990,"
                    4",Турксибский,2025,113.87,2,/a/show/694704263
от26097158,"
                    2",Турксибский,2025,46.39,совмещенный,/a/show/694704252
от256410000,"
                    4",Медеуский,2025,233.1,2,/a/show/689022914
от32760000,"
                    1",Бостандыкский,2025,39,совмещенный,/a/show/674283771
46500000,"
                    2",Бостандыкский,2021,8,49.9,/a/show/698669932
33900000,"
                    2",Алатауский,2018,8,55,/a/show/697540320
59000000,"
                    4",Ауэзовский,2023,8,104.5,/a/show/697433545
от64812500,"
                    3",Алмалинский,2025,103.7,совмещенный,/a/show/689365696
от373680000,"
                    5",Медеуский,2022,311.4,2,/a/show/675843246
от29000000,"
                    3",Алатауский,2024,79.84,раздельный,/a/show/696194998
от68500000,"
                    2",Бостандыкский,2024,68.5,совмещенный,/a/show/687751123
13000000,"
                    1",Ауэзовский,1963,1,20,/a/show/695371831
48500000,"
                    3",Ауэзовский,1989,1,72,/a/show/694352400
49000000,"
                    3",Алмалинский,2012,9,78.6,/a/show/681976404
47000000,"
                    2",Бостандыкский,2022,12,56,/a/show/696511936
28000000,"
                    1",Бостандыкский,1991,1,35.7,/a/show/678081569
40500000,"
                    2",Бостандыкский,2022,7,56,/a/show/693315151
37000000,"
                    1",Ауэзовский,2014,2,52.7,/a/show/695023123
34500000,"
                    2",Бостандыкский,2023,14,56.1,/a/show/693802333
54000000,"
                    1",Алмалинский,2023,4,41.2,/a/show/689534639
54900000,"
                    2",Бостандыкский,2015,12,82,/a/show/686413971
26000000,"
                    2",Ауэзовский,1968,2,44.5,/a/show/693744376
41500000,"
                    2",Бостандыкский,2023,3,61,/a/show/684250561
87000000,"
                    3",Бостандыкский,2022,10,102.4,/a/show/692515506
22400000,"
                    1",Алматы,1965,4,42,/a/show/681262483
48000000,"
                    3",Ауэзовский,1991,1,72,/a/show/691035302
36000000,"
                    2",Алмалинский,2021,9,41,/a/show/697198272
20000000,"
                    1",Наурызбайский,2024,2,31,/a/show/699079412
44000000,"
                    2",Медеуский,2024,6,70,/a/show/696136000
16500000,"
                    1",Алатауский,2015,1,30.2,/a/show/674659269
от310315500,"
                    4",Медеуский,2026,188.07,2,/a/show/697299949
от44293920,"
                    3",Алатауский,2026,83.89,2,/a/show/690748234
36800000,"
                    3",Алмалинский,1977,5,60,/a/show/699071903
36000000,"
                    2",Алатауский,2015,1,69,/a/show/696202241
59900000,"
                    2",Алмалинский,2019,9,79,/a/show/690944095
20000000,"
                    1",Жетысуский,2010,6,35,/a/show/685667279
от38542400,"
                    3",Алатауский,2025,87.2,2,/a/show/693826797
от30055659,"
                    1",Алмалинский,2025,35.1,совмещенный,/a/show/689365674
51500000,"
                    3",Бостандыкский,2011,4,80,/a/show/698929127
32000000,"
                    2",Наурызбайский,2024,5,61.4,/a/show/696427048
50000000,"
                    3",Медеуский,2021,9,83,/a/show/691573948
35800000,"
                    1",Алмалинский,2024,9,44.1,/a/show/685416630
от92136320,"
                    2",Алматы,2024,75.77,2,/a/show/688394391
31500000,"
                    1",Медеуский,2015,1,50.8,/a/show/698199017
61000000,"
                    3",Бостандыкский,2022,3,72,/a/show/690437042
44000000,"
                    2",Жетысуский,2023,8,68.6,/a/show/690365339
42000000,"
                    4",Алмалинский,1968,5,74.1,/a/show/688630605
33900000,"
                    2",Бостандыкский,2023,15,51.3,/a/show/699025964
51000000,"
                    2",Бостандыкский,2020,9,53,/a/show/695911765
94999999,"
                    2",Бостандыкский,2010,15,93,/a/show/694138669
35500000,"
                    2",Турксибский,2021,6,65.45,/a/show/693234897
17000000,"
                    1",Алатауский,2013,4,30,/a/show/686934971
от31369400,"
                    2",Алатауский,2025,46.82,2,/a/show/695180120
24999999,"
                    1",Наурызбайский,2018,6,39,/a/show/698529119
44000000,"
                    2",Бостандыкский,2020,13,54,/a/show/698190506
от83370480,"
                    3",Бостандыкский,2025,107.16,2,/a/show/694723354
от49000000,"
                    3",Алмалинский,2025,81,совмещенный,/a/show/689365680
от30430000,"
                    3",Алматинская,2025,80.08,совмещенный,/a/show/693821637
от49065700,"
                    2",Бостандыкский,2025,65.86,совмещенный,/a/show/689196239
40000000,"
                    3",Алатауский,1988,5,67.4,/a/show/695747703
42000000,"
                    3",Ауэзовский,1990,2,70,/a/show/694205528
30000000,"
                    1",Алатауский,2016,6,36,/a/show/691160186
от172288200,"
                    3",Наурызбайский,2025,129.54,2,/a/show/697335403
от97686000,"
                    3",Алмалинский,2024,108.54,2,/a/show/690934974
от16275000,"
                    1",Алматинская,2025,43.4,совмещенный,/a/show/684816529
38000000,"
                    2",Турксибский,2023,9,70,/a/show/696362271
от31136000,"
                    2",Наурызбайский,2023,55.6,совмещенный,/a/show/682695482
22000000,"
                    2",Турксибский,2019,1,56,/a/show/695816284
35000000,"
                    2",Алатауский,2010,8,66.2,/a/show/690430976
42000000,"
                    3",Бостандыкский,1985,1,62,/a/show/695093186
от103279440,"
                    3",Бостандыкский,2025,123.54,2,/a/show/694723359
от162833300,"
                    3",Наурызбайский,2025,125.74,2,/a/show/697335401
26000000,"
                    1",Алмалинский,1980,9,40,/a/show/699114528
63000000,"
                    3",Медеуский,1992,11,70,/a/show/687456040
26000000,"
                    2",Алматы,2024,1,46.82,/a/show/698973920
46200000,"
                    3",Наурызбайский,2024,1,72,/a/show/698105779
27000000,"
                    3",Турксибский,1973,2,60.4,/a/show/694779017
39500000,"
                    3",Турксибский,1974,4,64,/a/show/696614492
55000000,"
                    2",Бостандыкский,2007,19,100,/a/show/680540435
36500000,"
                    3",Наурызбайский,2022,4,80,/a/show/697351117
30500000,"
                    2",Наурызбайский,2020,8,71.3,/a/show/681510852
31500000,"
                    2",Бостандыкский,2023,4,52.7,/a/show/693506320
52000000,"
                    2",Бостандыкский,2023,10,45,/a/show/690951480
27000000,"
                    1",Бостандыкский,2023,7,32.6,/a/show/686092061
от40206050,"
                    3",Турксибский,2025,78.07,2,/a/show/694704257
от32180500,"
                    2",Турксибский,2025,58.1,совмещенный,/a/show/694706342
82000000,"
                    3",Медеуский,2008,7,80,/a/show/697828870
27000000,"
                    1",Ауэзовский,2023,11,44.8,/a/show/696280307
23000000,"
                    1",Алатауский,2019,10,36.1,/a/show/695524904
25000000,"
                    1",Алатауский,2019,7,39.3,/a/show/693574606
от11550000,"
                    1",Алматинская,2025,30.8,совмещенный,/a/show/684816527
125000000,"
                    3",Медеуский,2007,11,140,/a/show/699031673
104000000,"
                    3",Бостандыкский,2014,9,132,/a/show/694562999
34500000,"
                    2",Наурызбайский,2023,7,60,/a/show/697962694
78000000,"
                    2",Бостандыкский,2014,4,85,/a/show/698953039
17600000,"
                    1",Жетысуский,2009,5,39.8,/a/show/694328155
47000000,"
                    2",Наурызбайский,2023,3,67,/a/show/692695117
96000000,"
                    3",Бостандыкский,2015,6,107,/a/show/687490728
34500000,"
                    2",Алмалинский,1987,8,60,/a/show/699207591
19300000,"
                    1",Турксибский,2021,9,28,/a/show/697076854
от70513000,"
                    1",Медеуский,2025,65.9,совмещенный,/a/show/689022900
от23875200,"
                    2",Жетысуский,2025,49.74,совмещенный,/a/show/688265082
57900000,"
                    3",Бостандыкский,2024,1,91,/a/show/697786308
от58874400,"
                    4",Турксибский,2025,113.22,2,/a/show/694704262
27950000,"
                    1",Бостандыкский,2024,2,33.4,/a/show/688377367
от95680200,"
                    3",Бостандыкский,2025,114.45,2,/a/show/694723355
от80928000,"
                    2",Бостандыкский,2017,84.3,2,/a/show/674021105
от84672000,"
                    2",Бостандыкский,2017,88.2,2,/a/show/674021103
18000000,"
                    2",Жетысуский,2011,2,40,/a/show/696895348
от112866600,"
                    3",Бостандыкский,2025,115.17,2,/a/show/694723357
32500000,"
                    2",Ауэзовский,2024,12,46,/a/show/698308732
от203534100,"
                    4",Наурызбайский,2025,152.46,2,/a/show/697335404
45000000,"
                    2",Ауэзовский,2012,5,69.5,/a/show/698519871
21000000,"
                    1",Наурызбайский,2022,3,52,/a/show/688549260
31999990,"
                    1",Ауэзовский,2023,7,40,/a/show/682295897
от121648380,"
                    3",Алматы,2024,107.94,2,/a/show/688394397
от16249000,"
                    2",Алматинская,2024,47.1,совмещенный,/a/show/680003633
от56300000,"
                    1",Бостандыкский,2024,56.3,совмещенный,/a/show/687751121
25500000,"
                    1",Алатауский,2023,4,43.6,/a/show/697714142
40000000,"
                    3",Ауэзовский,1990,11,72.2,/a/show/697315784
39000000,"
                    2",Алатауский,2021,12,56,/a/show/687031829
26000000,"
                    1",Турксибский,2017,7,45.1,/a/show/677234374
130000000,"
                    2",Бостандыкский,2024,7,73,/a/show/699211312
24000000,"
                    2",Наурызбайский,2020,3,45,/a/show/699197566
32999000,"
                    2",Алмалинский,1969,2,44.9,/a/show/695569139
17940000,"
                    2",Алатауский,1971,2,34.6,/a/show/692338944
96000000,"
                    3",Бостандыкский,2021,12,100,/a/show/684069040
21500000,"
                    2",Турксибский,1982,1,64,/a/show/674738241
от24375000,"
                    1",Турксибский,2025,37.5,совмещенный,/a/show/694704249
от63309330,"
                    4",Жетысуский,2025,106.4,совмещенный,/a/show/684283323
от41272000,"
                    2",Наурызбайский,2023,73.7,совмещенный,/a/show/682828218
40500000,"
                    2",Турксибский,2022,7,69.3,/a/show/698648231
32600000,"
                    1",Ауэзовский,2017,7,43,/a/show/697964784
21500000,"
                    2",Турксибский,1988,5,39.1,/a/show/697265690
32500000,"
                    2",Ауэзовский,2024,1,63,/a/show/690744364
от75130650,"
                    3",Алмалинский,2022,93.33,2.7,/a/show/687659705
80000000,"
                    3",Бостандыкский,2019,4,82,/a/show/696584132
10900000,"
                    1",Ауэзовский,1974,4,23,/a/show/696377509
19800000,"
                    1",Наурызбайский,2023,3,31,/a/show/691252446
23000000,"
                    1",Бостандыкский,1962,1,32,/a/show/698887372
36500000,"
                    2",Медеуский,1970,4,45,/a/show/697381670
25600000,"
                    1",Ауэзовский,2022,1,30.6,/a/show/691225361
35500000,"
                    2",Алмалинский,2024,2,65,/a/show/682470008
от392598000,"
                    5",Медеуский,2026,230.94,2,/a/show/697299953
от272090000,"
                    4",Бостандыкский,44,2024,155.48,/a/show/694787134
72000000,"
                    2",Бостандыкский,2007,10,77,/a/show/696383075
76000000,"
                    3",Ауэзовский,2022,3,81,/a/show/695557597
37000000,"
                    4",Жетысуский,1992,1,78.7,/a/show/695396925
58000000,"
                    3",Наурызбайский,2021,1,88,/a/show/684945846
38000000,"
                    3",Турксибский,1990,2,71.5,/a/show/678462322
от51918800,"
                    1",Бостандыкский,2025,48.98,раздельный,/a/show/694723347
от160781500,"
                    2",Медеуский,2026,103.73,2,/a/show/697299939
от37990500,"
                    2",Алатауский,2024,66.65,совмещенный,/a/show/682385939
от81650000,"
                    3",Алмалинский,2024,88.75,2,/a/show/683974504
от57604200,"
                    2",Алмалинский,2022,61.94,2.7,/a/show/687659586
112000000,"
                    3",Бостандыкский,2008,11,141,/a/show/699042905
71500000,"
                    3",Бостандыкский,2019,13,90,/a/show/699058194
28000000,"
                    2",Наурызбайский,"52 м², Площадь кухни — 10 м²",свежий,совмещенный,/a/show/695687674
58000000,"
                    2",Ауэзовский,2016,13,80.9,/a/show/683683074
от137940000,"
                    3",Бостандыкский,2024,145.2,2,/a/show/667443968
13000000,"
                    1",Алмалинский,1974,4,15.2,/a/show/698963487
от48942400,"
                    4",Алатауский,2024,94.12,2,/a/show/691946632
24500000,"
                    1",Алмалинский,1971,2,33,/a/show/699211074
32500000,"
                    1",Алмалинский,2023,11,46.4,/a/show/698977973
43500000,"
                    3",Медеуский,1980,4,70,/a/show/698624236
155000000,"
                    3",Бостандыкский,2021,8,150,/a/show/698866997
30400000,"
                    2",Алатауский,2014,3,70,/a/show/696555079
25000000,"
                    2",Алатауский,2024,5,62.7,/a/show/692183149
21500000,"
                    1",Алатауский,2017,5,41,/a/show/691869448
49500000,"
                    3",Жетысуский,2022,3,73,/a/show/689988475
25000000,"
                    1",Жетысуский,2024,4,39.6,/a/show/688519161
от129645100,"
                    4",Бостандыкский,2025,160.85,2,/a/show/694723365
48000000,"
                    2",Бостандыкский,2024,8,80,/a/show/697829363
24500000,"
                    1",Ауэзовский,2016,1,42,/a/show/695758855
37500000,"
                    1",Алмалинский,2023,10,43,/a/show/698119084
31500000,"
                    2",Ауэзовский,1963,3,46,/a/show/694305426
44000000,"
                    2",Ауэзовский,2023,15,55,/a/show/697776065
55000000,"
                    3",Алмалинский,2016,6,91.6,/a/show/696836197
39999999,"
                    2",Алмалинский,1976,2,42,/a/show/691320167
от33320000,"
                    1",Алмалинский,2025,47.6,совмещенный,/a/show/689365681
24000000,"
                    2",Наурызбайский,2020,9,55,/a/show/698631733
22500000,"
                    1",Турксибский,2021,1,31.7,/a/show/698888982
154053100,"
                    6",Бостандыкский,2024,1,221.66,/a/show/698683347
35500000,"
                    2",Алатауский,2021,5,55.3,/a/show/697964259
17400000,"
                    1",Наурызбайский,2024,2,40.58,/a/show/697768705
58000000,"
                    3",Наурызбайский,2023,1,88.5,/a/show/696090950
41000000,"
                    3",Наурызбайский,2019,2,76,/a/show/693471276
43000000,"
                    1",Ауэзовский,2022,10,52,/a/show/688271748
32000000,"
                    3",Наурызбайский,1974,1,103,/a/show/675887011
от83832700,"
                    3",Бостандыкский,2024,104.14,2,/a/show/690039506
50500000,"
                    3",Ауэзовский,1991,6,71.3,/a/show/695408057
39000000,"
                    3",Ауэзовский,2017,10,55,/a/show/693301140
38800000,"
                    2",Бостандыкский,2013,18,53.4,/a/show/684129653
от107791360,"
                    3",Алматы,2024,94.72,2,/a/show/688394395
55000000,"
                    3",Турксибский,2021,1,90.3,/a/show/698888818
21500000,"
                    2",Турксибский,1970,1,42,/a/show/691689792
52000000,"
                    3",Алмалинский,1989,7,80,/a/show/686499726
64300000,"
                    3",Ауэзовский,2024,9,110,/a/show/698177946
81000000,"
                    3",Бостандыкский,2022,15,103,/a/show/691044962
48500000,"
                    1",Бостандыкский,2023,8,46,/a/show/689617096
65700000,"
                    2",Бостандыкский,2023,3,58.6,/a/show/699210838
от36820000,"
                    1",Алмалинский,2025,52.6,совмещенный,/a/show/689365686
38000000,"
                    2",Наурызбайский,2024,2,55,/a/show/696367721
36000000,"
                    1",Бостандыкский,2019,2,38,/a/show/693899027
29000000,"
                    2",Ауэзовский,2024,7,50.25,/a/show/693443145
34900000,"
                    2",Алатауский,2014,5,70,/a/show/691408844
от218518000,"
                    3",Медеуский,2026,128.54,2,/a/show/697299943
36500000,"
                    2",Алатауский,2015,4,67.3,/a/show/696063118
14200000,"
                    1",Бостандыкский,1973,1,24,/a/show/699111089
45500000,"
                    3",Наурызбайский,2023,11,88.7,/a/show/694208497
53500000,"
                    4",Алатауский,2023,4,123.8,/a/show/694088798
от26000000,"
                    2",Алматинская,2023,64.2,совмещенный,/a/show/682004959
от33083500,"
                    2",Жетысуский,2025,52.1,совмещенный,/a/show/684283309
14900000,"
                    2",Медеуский,2022,2,38,/a/show/697338877
112000000,"
                    3",Бостандыкский,2008,11,140.7,/a/show/699048956
57000000,"
                    2",Алмалинский,1980,5,62,/a/show/698150657
28000000,"
                    2",Турксибский,50 м²,2.8,нет,/a/show/693790426
26500000,"
                    2",Жетысуский,1982,5,45,/a/show/693511424
30000000,"
                    1",Медеуский,1984,2,31.6,/a/show/693135708
25000000,"
                    2",Алатауский,2019,4,46,/a/show/698537243
30500000,"
                    2",Жетысуский,2021,3,53,/a/show/687832025
от27825480,"
                    3",Алатауский,2025,62.67,2,/a/show/693826795
155000000,"
                    3",Медеуский,2008,8,160,/a/show/693795935
56000000,"
                    3",Ауэзовский,2007,12,108,/a/show/697008698
от41309200,"
                    2",Алатауский,2025,67.72,2,/a/show/695180124
от23960000,"
                    2",Алатауский,2023,59.9,совмещенный,/a/show/671283460
32000000,"
                    2",Турксибский,2021,8,63,/a/show/695408073
37000000,"
                    3",Алмалинский,2024,11,68,/a/show/694240600
30500000,"
                    2",Алатауский,2019,9,58,/a/show/694150973
55000000,"
                    4",Алатауский,2024,3,97,/a/show/698145429
61800000,"
                    2",Алмалинский,2023,4,75.1,/a/show/697110398
26900000,"
                    1",Ауэзовский,2006,9,52,/a/show/693807344
35000000,"
                    2",Алмалинский,1987,4,60,/a/show/699149412
65000000,"
                    3",Медеуский,2021,3,123.1,/a/show/694959513
28000000,"
                    2",Турксибский,1989,1,53.6,/a/show/694123917
22999999,"
                    1",Алатауский,2018,5,45,/a/show/693474554
36000000,"
                    3",Медеуский,1970,4,59,/a/show/691097191
53999900,"
                    3",Наурызбайский,2020,11,82,/a/show/687005453
35000000,"
                    2",Турксибский,2017,2,68,/a/show/698859136
43000000,"
                    2",Бостандыкский,2023,12,55,/a/show/698502753
от90825000,"
                    3",Ауэзовский,2024,121.1,2,/a/show/677332424
от208260000,"
                    4",Наурызбайский,2025,160.2,2,/a/show/697335405
40000000,"
                    3",Алмалинский,1979,1,56,/a/show/698884189
53000000,"
                    2",Бостандыкский,2017,14,77,/a/show/698708887
32000000,"
                    2",Алатауский,2022,5,63,/a/show/698110279
47500000,"
                    4",Ауэзовский,1989,2,84,/a/show/697316372
37950000,"
                    2",Жетысуский,2007,7,70,/a/show/696664547
25500000,"
                    2",Ауэзовский,2024,8,46.2,/a/show/695650007
17000000,"
                    2",Алматы,1986,3,56,/a/show/684153849
от49933000,"
                    2",Алматы,2025,59.8,3,/a/show/680178050
от50215000,"
                    3",Жетысуский,2025,83,2,/a/show/684283324
32000000,"
                    1",Алатауский,2012,3,50,/a/show/696670747
47000000,"
                    2",Жетысуский,2015,8,88,/a/show/690392072
47000000,"
                    2",Жетысуский,2015,8,88,/a/show/690392072
45000000,"
                    3",Наурызбайский,2012,16,140,/a/show/687932644
от191090000,"
                    4",Алматы,2022,197,2,/a/show/695394992
21000000,"
                    2",Жетысуский,2024,8,71.2,/a/show/698310676
34000000,"
                    2",Жетысуский,2022,10,47,/a/show/697393607
39900000,"
                    2",Ауэзовский,1993,7,53.8,/a/show/695393067
32900000,"
                    1",Ауэзовский,2019,1,50,/a/show/688279611
от60138000,"
                    2",Ауэзовский,2023,77.1,2,/a/show/677333175
от25202016,"
                    1",Турксибский,2025,41.67,совмещенный,/a/show/694704250
от269709000,"
                    3",Медеуский,2026,163.46,2,/a/show/697299948
68500000,"
                    3",Бостандыкский,2019,5,68.7,/a/show/698941364
29000000,"
                    2",Турксибский,1979,3,50.5,/a/show/698582548
53800000,"
                    3",Ауэзовский,2022,9,100,/a/show/698308063
26000000,"
                    1",Алатауский,2015,11,45.7,/a/show/695639839
от158935000,"
                    4",Бостандыкский,2024,167.3,2,/a/show/667443969
88500000,"
                    3",Бостандыкский,2023,3,90,/a/show/691842019
37000000,"
                    3",Алатауский,2017,3,78,/a/show/691459966
13000000,"
                    1",Жетысуский,2017,2,22.8,/a/show/685790313
25000000,"
                    1",Турксибский,2015,2,39.8,/a/show/696581452
35500000,"
                    3",Алатауский,2023,2,92,/a/show/693486628
20500000,"
                    1",Алатауский,2021,1,35,/a/show/688846598
27000000,"
                    1",Жетысуский,2009,8,54,/a/show/671568250
42000000,"
                    3",Наурызбайский,2020,4,88,/a/show/696075444
43500000,"
                    2",Бостандыкский,2024,3,58.4,/a/show/692588453
30500000,"
                    1",Алмалинский,2019,9,30,/a/show/698254933
43000000,"
                    3",Турксибский,1984,3,67,/a/show/698837516
19900000,"
                    1",Алатауский,2015,9,40,/a/show/699051609
62900000,"
                    2",Бостандыкский,2022,14,73,/a/show/695944052
26600000,"
                    1",Алматы,2023,12,42.5,/a/show/693831271
24500000,"
                    1",Жетысуский,2023,9,40,/a/show/690984186
27000000,"
                    1",Жетысуский,2022,5,39,/a/show/690186266
65000000,"
                    4",Алмалинский,2012,4,100,/a/show/698638369
